city_name,population,country_alpha3_code,alpha2_country_code,latitude,longitude
Oldbury/Smethwick (Warley),145542,GBR,GB,52.5015214,-2.0167267
Middlesbrough,145000,GBR,GB,54.5760419,-1.2344047
Huddersfield,143726,GBR,GB,53.6466645,-1.7822482
Oxford,144000,GBR,GB,51.7520131,-1.2578499
Poole,141000,GBR,GB,50.7179472,-1.981521
Bolton,139020,GBR,GB,53.5782863,-2.4300367
Blackburn,140000,GBR,GB,53.749326,-2.4840566
Newport,139000,GBR,GB,51.5882332,-2.9974967
Preston,135000,GBR,GB,53.7593363,-2.6992717
Stockport,132813,GBR,GB,53.407901,-2.160243
Norwich,124000,GBR,GB,52.6285576,1.2923954
Rotherham,121380,GBR,GB,53.4310417,-1.355187
Cambridge,121000,GBR,GB,52.2055314,0.1186637
Watford,113080,GBR,GB,51.6553875,-0.3957425
Ipswich,114000,GBR,GB,52.0579324,1.1528095
Slough,112000,GBR,GB,51.5111014,-0.5940682
Exeter,111000,GBR,GB,50.7256138,-3.5269209
Cheltenham,106000,GBR,GB,51.8995685,-2.0711559
Gloucester,107000,GBR,GB,51.8653705,-2.2458192
Saint Helens,106293,GBR,GB,51.7591718,-1.2104762559108466
Sutton Coldfield,106001,GBR,GB,52.5623089,-1.8239794
York,104425,GBR,GB,53.96565785,-1.0743052444639218
Oldham,103931,GBR,GB,53.5415797,-2.1147831
Basildon,100924,GBR,GB,51.5754602,0.4757363
Worthing,100000,GBR,GB,50.8115402,-0.3699697
Chelmsford,97451,GBR,GB,51.7345329,0.4730532
Colchester,96063,GBR,GB,51.8896903,0.8994651
Crawley,97000,GBR,GB,51.1103444,-0.1801094
Gillingham,92000,GBR,GB,51.3871701,0.5461611
Solihull,94531,GBR,GB,52.4130189,-1.7768935
Rochdale,94313,GBR,GB,53.6153659,-2.1557561
Birkenhead,93087,GBR,GB,53.3895177,-3.0248007
Worcester,95000,GBR,GB,52.1911849,-2.2206585
Hartlepool,92000,GBR,GB,54.6857276,-1.2093696
Halifax,91069,GBR,GB,53.7229229,-1.8604874
Woking/Byfleet,92000,GBR,GB,51.3401727,-0.472897
Southport,90959,GBR,GB,53.6475988,-3.0041751
Maidstone,90878,GBR,GB,51.2748258,0.5231646
Eastbourne,90000,GBR,GB,50.7664372,0.2781546
Grimsby,89000,GBR,GB,53.5671407,-0.0788045
Saint Helier,27523,GBR,GB,51.389451,-0.1988601
Douglas,23487,GBR,GB,55.556821,-3.8480017
Gibraltar,27025,GIB,GI,36.1285933,-5.3474761
Athenai,772072,GRC,GR,37.9755648,23.7348324
Thessaloniki,383967,GRC,GR,40.6403167,22.9352716
Pireus,182671,GRC,GR,37.9431594,23.6470593
Patras,153344,GRC,GR,38.246242,21.7350847
Peristerion,137288,GRC,GR,37.89318524288813,23.476388670313657
Herakleion,116178,GRC,GR,35.33908,25.1332843
Kallithea,114233,GRC,GR,37.9560111,23.7033792
Larisa,113090,GRC,GR,39.6383092,22.4160706
Zagreb,706770,HRV,HR,45.8130967,15.9772795
Split,189388,HRV,HR,43.5116383,16.4399659
Rijeka,167964,HRV,HR,45.3267976,14.442208
Osijek,104761,HRV,HR,45.5548793,18.6953685
Budapest,1811552,HUN,HU,47.48138955,19.14609412691246
Debrecen,203648,HUN,HU,47.531399,21.6259782
Miskolc,172357,HUN,HU,48.1030643,20.7900429
Szeged,158158,HUN,HU,46.2546312,20.1486016
Pécs,157332,HUN,HU,46.0765092,18.2280317
Györ,127119,HUN,HU,47.687609,17.6346815
Nyiregyháza,112419,HUN,HU,47.9557802,21.7167982
Kecskemét,105606,HUN,HU,46.9073883,19.6917206
Székesfehérvár,105119,HUN,HU,47.1910169,18.410811
Dublin,481854,IRL,IE,53.3493795,-6.2605593
Cork,127187,IRL,IE,51.897077,-8.4654674
Reykjavík,109184,ISL,IS,64.145981,-21.9422367
Roma,2643581,ITA,IT,41.8933203,12.4829321
Milano,1300977,ITA,IT,45.4641943,9.1896346
Napoli,1002619,ITA,IT,40.8358846,14.2487679
Torino,903705,ITA,IT,45.0677551,7.6824892
Palermo,683794,ITA,IT,38.1112268,13.3524434
Genova,636104,ITA,IT,44.40726,8.9338624
Bologna,381161,ITA,IT,44.4938203,11.3426327
Firenze,376662,ITA,IT,43.7697955,11.2556404
Catania,337862,ITA,IT,37.5023612,15.0873718
Bari,331848,ITA,IT,41.1257843,16.8620293
Venezia,277305,ITA,IT,45.4371908,12.3345898
Messina,259156,ITA,IT,38.1937571,15.5542082
Verona,255268,ITA,IT,45.4424977,10.985737689444765
Trieste,216459,ITA,IT,45.6496485,13.7772781
Padova,211391,ITA,IT,45.391408,11.805848677115884
Taranto,208214,ITA,IT,40.54881555,17.08058012454743
Brescia,191317,ITA,IT,45.77958045,10.4258729694612
Reggio di Calabria,179617,ITA,IT,38.1035389,15.6397556
Modena,176022,ITA,IT,44.5384728,10.93596087053074
Prato,172473,ITA,IT,43.935718050000006,11.09414726770089
Parma,168717,ITA,IT,44.6952006,10.097986896904466
Cagliari,165926,ITA,IT,39.2171994,9.113311
Livorno,161673,ITA,IT,42.7902379,10.340223929577242
Perugia,156673,ITA,IT,43.1070321,12.402996209906489
Foggia,154891,ITA,IT,41.50281055,15.452893911491383
Reggio nell´ Emilia,143664,ITA,IT,44.6086674,10.594066675914796
Salerno,142055,ITA,IT,40.41944165,15.310608468834516
Ravenna,138418,ITA,IT,44.3640607,12.059009490863945
Ferrara,132127,ITA,IT,44.766764249999994,11.827938995640167
Rimini,131062,ITA,IT,43.946543250000005,12.63074901925494
Syrakusa,126282,ITA,IT,37.0646139,15.2907196
Sassari,120803,ITA,IT,40.7778499,8.9219725134863
Monza,119516,ITA,IT,45.6395418,9.278830418070044
Bergamo,117837,ITA,IT,45.7566557,9.754219200862249
Pescara,115698,ITA,IT,42.3102619,13.95759010584892
Latina,114099,ITA,IT,41.45952605,13.012591212188894
Vicenza,109738,ITA,IT,45.63485905,11.40635425660249
Terni,107770,ITA,IT,42.6539486,12.439652829139408
Forlì,107475,ITA,IT,44.2227278,12.041273
Trento,104906,ITA,IT,46.1029536,11.12974249416882
Novara,102037,ITA,IT,45.584250049999994,8.545996970894572
Piacenza,98384,ITA,IT,44.8476352,9.666531257696896
Ancona,98329,ITA,IT,43.4801189,13.218727943815642
Lecce,98208,ITA,IT,40.1522173,18.2260628338229
Bolzano,97232,ITA,IT,46.65594545,11.23021287087526
Catanzaro,96700,ITA,IT,38.82996034999999,16.43155687627833
La Spezia,95504,ITA,IT,44.23836595,9.691232634547536
Udine,94932,ITA,IT,46.0634632,13.2358377
Torre del Greco,94505,ITA,IT,40.7879211,14.3682813
Andria,94443,ITA,IT,41.2275731,16.2954806
Brindisi,93454,ITA,IT,40.63591975,17.688443357842537
Giugliano in Campania,93286,ITA,IT,40.9283217,14.2011232
Pisa,92379,ITA,IT,43.4714722,10.679791173704576
Barletta,91904,ITA,IT,41.3214976,16.2868696
Arezzo,91729,ITA,IT,43.51714415,11.763928194732204
Alessandria,90289,ITA,IT,44.83495335,8.745030418605868
Cesena,89852,ITA,IT,44.136352,12.2422442
Pesaro,88987,ITA,IT,43.9098114,12.9131228
Schaan,5346,LIE,LI,47.1663397,9.510312
Vaduz,5043,LIE,LI,47.1392862,9.5227962
Vilnius,577969,LTU,LT,54.6870458,25.2829111
Kaunas,412639,LTU,LT,54.8982139,23.9044817
Klaipeda,202451,LTU,LT,55.7127529,21.1350469
Šiauliai,146563,LTU,LT,55.9340823,23.3157775
Panevezys,133695,LTU,LT,55.7344985,24.3578055
Luxembourg [Luxemburg/Lëtzebuerg],80700,LUX,LU,49.5999681,6.1342493
Riga,764328,LVA,LV,56.9493977,24.1051846
Daugavpils,114829,LVA,LV,55.8712267,26.5159337
Liepaja,89439,LVA,LV,56.5048435,21.0070903
Monte-Carlo,13154,MCO,MC,43.7402961,7.426559
Monaco-Ville,1234,MCO,MC,43.7309697,7.4248152
Chisinau,719900,MDA,MD,47.0245117,28.8322923
Tiraspol,194300,MDA,MD,46.8566229,29.605918132910546
Balti,153400,MDA,MD,47.7623952,27.9286022
Bender (Tîghina),125700,MDA,MD,46.82044785,29.47694554318988
Skopje,444299,MKD,MK,41.9961816,21.4319213
Birkirkara,21445,MLT,MT,35.8994547,14.4649578
Valletta,7073,MLT,MT,35.8989818,14.5136759
Amsterdam,731200,NLD,NL,52.3730796,4.8924534
Rotterdam,593321,NLD,NL,51.9244424,4.47775
Haag,440900,NLD,NL,52.0799838,4.3113461
Utrecht,234323,NLD,NL,52.0907006,5.1215634
Eindhoven,201843,NLD,NL,51.4392648,5.478633
Tilburg,193238,NLD,NL,51.58561845,5.0660616131367675
Groningen,172701,NLD,NL,53.2190652,6.5680077
Breda,160398,NLD,NL,51.5887845,4.7760237
Apeldoorn,153491,NLD,NL,52.17957375,5.930077460807249
Nijmegen,152463,NLD,NL,51.842574850000005,5.838960628748229
Enschede,149544,NLD,NL,52.22336325,6.870595664097989
Haarlem,148772,NLD,NL,52.3885317,4.6388048
Almere,142465,NLD,NL,52.3705038,5.2185859
Arnhem,138020,NLD,NL,52.0056642,5.8762345077641305
Zaanstad,135621,NLD,NL,52.4689235,4.773783522451712
´s-Hertogenbosch,129170,NLD,NL,51.6889387,5.303116
